date,stock_id,percent,people,unit
2026-09-04,1336,51.84,23,40252129
2026-09-04,1337,47.71000000000001,56,128387952
2026-09-04,1338,44.15,25,37035854
2026-09-04,1339,75.19,16,55749438
2026-09-04,1340,34.629999999999995,25,52988763
2026-09-04,1341,83.7,16,44243712
2026-09-04,1342,58.72,14,45820509
2026-09-04,1343,66.18,22,26819140
2026-09-04,1402,89.26,428,4778743664
2026-09-04,1407,35.28,76,155616513
2026-09-04,1407A,53.5,9,36304000
2026-09-04,1408,20.7,72,72859689
2026-09-04,1409,61.85,212,1001208997
2026-09-04,1410,77.0,20,47752205
2026-09-04,1413,76.03999999999999,26,100482672
2026-09-04,1414,88.55999999999999,37,175384796
2026-09-04,1416,56.2,39,104182777
2026-09-04,1417,58.38,51,110915412
2026-09-04,1418,71.53999999999999,19,40667068
2026-09-04,1419,90.54,71,271730435
2026-09-04,1423,83.33999999999999,29,83074852
2026-09-04,1432,54.5,13,58875582
2026-09-04,1434,72.0,162,1213443042
2026-09-04,1435,94.87,24,132616615
2026-09-04,1436,76.38,38,148348406
2026-09-04,1437,79.36,73,160241064
2026-09-04,1438,82.95,28,92259191
2026-09-04,1439,85.63999999999999,31,78806780
2026-09-04,1440,78.44,270,1299945003
2026-09-04,1441,65.0,15,46654605
2026-09-04,1442,87.33,108,319861838
2026-09-04,1443,89.95,40,121762884
2026-09-04,1444,64.1,138,638361349
2026-09-04,1445,69.06,41,90268348
2026-09-04,1446,66.28999999999999,30,91308330
2026-09-04,1447,70.08,129,638037170
2026-09-04,1449,38.48,27,48929997
2026-09-04,1450,25.83,14,20374520
2026-09-04,1451,63.73,40,126205593
2026-09-04,1452,49.440000000000005,40,65614838
2026-09-04,1453,75.67,18,85716130
2026-09-04,1454,81.67,35,106051724
2026-09-04,1455,67.03999999999999,80,356543231
2026-09-04,1456,85.77000000000001,15,80398761
2026-09-04,1457,74.95,71,237451744
2026-09-04,1458,59.79,59,155928277
2026-09-04,1459,84.15,61,226396944
2026-09-04,1460,71.95,123,499959277
2026-09-04,1462,46.4,98,139155413
2026-09-04,1463,81.79,42,141749590
2026-09-04,1464,61.85,89,263304385
2026-09-04,1465,72.84,39,75482336
2026-09-04,1466,69.19,35,76930776
2026-09-04,1467,67.26,45,157167323
2026-09-04,1468,97.55,18,156505821
2026-09-04,1469,92.35,28,80568464
2026-09-04,1470,86.72,35,74387583
2026-09-04,1471,21.92,22,32982180
2026-09-04,1472,82.55000000000001,18,43341718
2026-09-04,1473,71.81,30,104988215
2026-09-04,1474,58.88,30,76498839
2026-09-04,1475,76.28,16,50377750
2026-09-04,1476,80.28999999999999,79,220346525
2026-09-04,1477,59.2,76,146099762
2026-09-04,1480,98.13,59,408346640
2026-09-04,1491,59.65,24,32709081
2026-09-04,1492O,0.0,0,0
2026-09-04,1492R,0.0,0,0
2026-09-04,1498,48.56,1,424968
2026-09-04,1503,73.2,63,381438238
2026-09-04,1504,70.58,237,1677656307
2026-09-04,1506,77.16999999999999,46,231880985
2026-09-04,1507,100.0,1,250000000
2026-09-04,1512,54.040000000000006,19,53063076
2026-09-04,1513,44.85,78,225756272
2026-09-04,1514,41.0,60,114274595
2026-09-04,1515,48.57,32,88170153
2026-09-04,1516,64.82,15,25938108
2026-09-04,1517,48.690000000000005,30,107152984
2026-09-04,1519,73.65,77,255992443
2026-09-04,1521,68.06,12,51893956
2026-09-04,1522,57.68,50,180526670
2026-09-04,1522A,87.74,10,26327500
2026-09-04,1524,38.55,21,63766432
2026-09-04,1525,89.37,9,65604340
2026-09-04,1526,37.99,12,22799675
2026-09-04,1527,33.39,22,46300114
2026-09-04,1528,30.67,13,58725300
2026-09-04,1529,45.48,21,70584725
2026-09-04,1530,75.47,14,71399827
2026-09-04,1531,63.96,52,116508294
2026-09-04,1532,66.44,105,280875445
2026-09-04,1533,63.26,35,62360681
2026-09-04,1534,46.92,19,31798904
2026-09-04,1535,75.69,10,93669038
2026-09-04,1536,34.06,53,95087588
2026-09-04,1537,51.48,25,42268040
2026-09-04,1538,78.44999999999999,7,25345478
2026-09-04,1539,61.11,11,39953656
2026-09-04,1540,35.14,22,30039299
2026-09-04,1541,83.75999999999999,15,66023078
2026-09-04,1553,0.0,0,0
2026-09-04,1557,30.57,1,526527
2026-09-04,1558,38.15,30,24636831
2026-09-04,1560,64.53999999999999,65,97974693
2026-09-04,1563,100.0,1,169206105
2026-09-04,1563O,49.66,70,112099136
2026-09-04,1565,16.8,10,8477339
2026-09-04,1568,64.93,31,66959038
2026-09-04,1569,51.760000000000005,35,74684741
2026-09-04,1570,55.14,11,28409484
2026-09-04,1571,67.23,1,765000
2026-09-04,1573,0.0,0,0
2026-09-04,1575,0.0,0,0
2026-09-04,1577,0.0,0,0
2026-09-04,1580,38.65,14,19078076
2026-09-04,1582,30.81,25,44494414
2026-09-04,1583,91.25,17,99838703
2026-09-04,1584,40.98,35,95322462
2026-09-04,1585,65.75999999999999,33,37957711
2026-09-04,1586,72.57000000000001,49,94015818
2026-09-04,1587,46.32,20,37095197
2026-09-04,1589,28.35,30,43458415
2026-09-04,1590,72.48,103,145008012
2026-09-04,1591,20.38,9,7761385
2026-09-04,1592,26.44,25,29357413
2026-09-04,1593,50.05,18,19913906
2026-09-04,1594,82.82000000000001,12,27515325
2026-09-04,1595,48.78,22,28164657
2026-09-04,1597,49.73,33,44411023
2026-09-04,1598,60.3,48,108072346
2026-09-04,1599,65.11,21,47560902
2026-09-04,1601,11.57,13,12313555
2026-09-04,1602,12.17,26,47056285
2026-09-04,1603,72.79,30,139548514
2026-09-04,1604,58.35,73,224264263
2026-09-04,1605,75.34,369,3339022098
2026-09-04,1606,15.91,119,122613360
2026-09-04,1608,66.28,60,419571190
2026-09-04,1609,32.4,110,254609035
2026-09-04,1611,52.98,80,171023414
2026-09-04,1612,61.02,65,192926438
2026-09-04,1613,57.74,67,131341131
2026-09-04,1614,82.92,83,223198256
2026-09-04,1615,80.69,35,160329753
2026-09-04,1616,59.61,25,115773594
2026-09-04,1617,75.58,38,128148307
2026-09-04,1618,57.48,28,110790872
2026-09-04,1623,77.09,13,50889220
2026-09-04,1626,69.23,48,103756140
2026-09-04,1702,57.78,30,170016790
2026-09-04,1707,52.71,52,78114713
2026-09-04,1708,39.24,42,97752903
2026-09-04,1709,70.95,128,338574680
2026-09-04,1710,62.02,133,549567379
2026-09-04,1711,45.01,91,246665089
2026-09-04,1712,56.5,117,237644957
2026-09-04,1713,74.36,30,112255876
2026-09-04,1714,52.91,145,524865448
2026-09-04,1717,69.03999999999999,240,817860309
2026-09-04,1718,51.42,220,867275396
2026-09-04,1720,65.04,31,127864568
2026-09-04,1721,37.64,33,69627090
2026-09-04,1722,64.28999999999999,155,630297920
2026-09-04,1723,52.86,39,125285192
2026-09-04,1725,94.44,20,171738574
2026-09-04,1726,85.45,28,138462328
2026-09-04,1727,59.02,29,75584347
2026-09-04,1729,91.39,47,165189630
2026-09-04,1730,57.3,11,36241298
2026-09-04,1731,55.69,15,74028162
2026-09-04,1732,46.400000000000006,5,19695882
2026-09-04,1733,43.51,19,43517227
2026-09-04,1734,49.24,41,93692796
2026-09-04,1735,78.39999999999999,12,77927200
2026-09-04,1736,88.27,44,267873094
2026-09-04,1737,62.72,25,125498752
2026-09-04,1742,80.77,27,74870798
2026-09-04,1748,39.61,3,5667604
2026-09-04,1748R,0.0,0,0
2026-09-04,1752,64.22,20,64874061
2026-09-04,1760,43.07,22,36942728
2026-09-04,1762,46.29,17,35626661
2026-09-04,1763,100.0,1,1816737993
2026-09-04,1764,100.0,1,715186287
2026-09-04,1765,100.0,1,437517135
2026-09-04,1766,100.0,1,493557368
2026-09-04,1773,73.72,54,221241772
2026-09-04,1775,100.0,1,88000000
2026-09-04,1776,65.81,32,39566816
2026-09-04,1777,59.79,9,26668830
2026-09-04,1780,78.05,44,85152453
2026-09-04,1781,44.86,22,21274320
